index,Plot,Trat,Cultivar,Z1,Z2,Z3,Z4,Weights
1,B2,75,A,7,15,NA,NA,0.25
3,B2,75,A,3,4,NA,NA,0.25
5,B2,75,A,4,5,15,NA,0.25
7,B2,75,A,4,10,30,NA,0.25
9,B2,75,A,5,12,NA,NA,0.25
11,B2,75,A,3,NA,20,NA,0.25
13,B2,75,A,1,7,20,NA,0.25
15,B2,75,A,1,7,NA,NA,0.25
17,B2,75,A,2,4,7,NA,0.25
19,B2,75,A,5,15,20,NA,0.25
21,B2,75,A,3,5,10,NA,0.25
23,B2,75,A,3,3,60,NA,0.25
25,B2,75,A,3,15,30,NA,0.25
27,B2,75,A,2,15,NA,NA,0.25
29,B2,75,A,0,7,15,20,0.25
31,C3,75,A,3,10,17,NA,0.25
33,C3,75,A,8,18,7,4,0.25
35,C3,75,A,7,3,15,NA,0.25
37,C3,75,A,3,12,7,NA,0.25
39,C3,75,A,7,18,70,NA,0.25
41,C3,75,A,3,15,50,NA,0.25
43,C3,75,A,3,40,40,NA,0.25
45,C3,75,A,7,18,60,NA,0.25
47,C3,75,A,4,15,12,30,0.25
49,C3,75,A,3,7,15,NA,0.25
51,C3,75,A,4,7,15,30,0.25
53,C3,75,A,2,20,20,NA,0.25
55,C3,75,A,4,5,30,NA,0.25
57,C3,75,A,3,10,40,NA,0.25
59,C3,75,A,2,7,18,NA,0.25
61,E1,75,A,2,2,7,10,0.25
63,E1,75,A,3,15,50,NA,0.25
65,E1,75,A,2,7,30,20,0.25
67,E1,75,A,1,1,3,30,0.25
69,E1,75,A,1,3,7,NA,0.25
71,E1,75,A,0,7,7,5,0.25
73,E1,75,A,1,4,4,40,0.25
75,E1,75,A,0,7,10,NA,0.25
77,E1,75,A,1,5,7,20,0.25
79,E1,75,A,2,7,NA,NA,0.25
81,E1,75,A,1,7,2,NA,0.25
83,E1,75,A,1,7,20,NA,0.25
85,E1,75,A,0,7,3,NA,0.25
87,E1,75,A,2,7,10,NA,0.25
89,E1,75,A,1,5,30,NA,0.25
2,B2,75,C,1,4,20,NA,0.75
4,B2,75,C,0,4,NA,NA,0.75
6,B2,75,C,0,0,2,NA,0.75
8,B2,75,C,0,3,NA,NA,0.75
10,B2,75,C,1,1,4,NA,0.75
12,B2,75,C,1,1,4,15,0.75
14,B2,75,C,1,2,7,NA,0.75
16,B2,75,C,0,3,7,NA,0.75
18,B2,75,C,0,2,7,5,0.75
20,B2,75,C,1,8,25,5,0.75
22,B2,75,C,1,10,30,NA,0.75
24,B2,75,C,1,3,15,NA,0.75
26,B2,75,C,1,15,NA,NA,0.75
28,B2,75,C,1,4,12,20,0.75
30,B2,75,C,0,2,2,NA,0.75
32,C3,75,C,1,4,20,10,0.75
34,C3,75,C,3,4,3,NA,0.75
36,C3,75,C,0,1,10,NA,0.75
38,C3,75,C,0,4,10,10,0.75
40,C3,75,C,1,3,10,NA,0.75
42,C3,75,C,1,12,20,NA,0.75
44,C3,75,C,0,3,20,NA,0.75
46,C3,75,C,0,0,30,80,0.75
48,C3,75,C,1,3,7,50,0.75
50,C3,75,C,1,20,35,70,0.75
52,C3,75,C,2,5,30,15,0.75
54,C3,75,C,0,5,7,NA,0.75
56,C3,75,C,1,5,20,NA,0.75
58,C3,75,C,0,5,4,10,0.75
60,C3,75,C,1,10,10,25,0.75
62,E1,75,C,0,3,2,20,0.75
64,E1,75,C,1,2,20,NA,0.75
66,E1,75,C,1,7,10,NA,0.75
68,E1,75,C,0,3,5,50,0.75
70,E1,75,C,0,0,1,10,0.75
72,E1,75,C,0,1,2,20,0.75
74,E1,75,C,1,1,15,15,0.75
76,E1,75,C,0,3,30,1,0.75
78,E1,75,C,0,2,5,3,0.75
80,E1,75,C,0,2,40,25,0.75
82,E1,75,C,0,0,10,10,0.75
84,E1,75,C,1,0,4,NA,0.75
86,E1,75,C,0,3,7,NA,0.75
88,E1,75,C,2,7,20,10,0.75
90,E1,75,C,0,3,5,10,0.75
